epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,35335.3,1.32579,1.1195,1.2844,0.71483,0.7049,0.72107,0.42777,1.47466,1.52619,1.42357,0.0066175,0.0066175,0.0066175
43,36170.7,1.31722,1.11195,1.27828,0.70644,0.71056,0.72093,0.42899,1.47403,1.52462,1.42341,0.006535,0.006535,0.006535
44,37001.1,1.31095,1.09708,1.27134,0.71103,0.71117,0.72208,0.4297,1.47308,1.52338,1.42298,0.0064525,0.0064525,0.0064525
45,37836.1,1.31185,1.10071,1.27352,0.7148,0.71038,0.72276,0.43018,1.47288,1.52024,1.42204,0.00637,0.00637,0.00637
46,38668,1.30191,1.08596,1.2672,0.71675,0.71037,0.72356,0.43054,1.47244,1.51845,1.42171,0.0062875,0.0062875,0.0062875
47,39502.6,1.29663,1.07227,1.26365,0.71938,0.70902,0.72301,0.43053,1.47225,1.51616,1.42183,0.006205,0.006205,0.006205
48,40336.7,1.29344,1.07427,1.263,0.7215,0.70814,0.72382,0.43127,1.47236,1.51493,1.42172,0.0061225,0.0061225,0.0061225
49,41178.6,1.28823,1.0712,1.26545,0.72254,0.70677,0.72342,0.43154,1.47269,1.51343,1.42236,0.00604,0.00604,0.00604
50,42003,1.28121,1.05901,1.25799,0.72443,0.70786,0.72337,0.43116,1.47297,1.51212,1.42244,0.0059575,0.0059575,0.0059575
51,42815.3,1.27604,1.0588,1.257,0.72534,0.70885,0.72439,0.43101,1.47244,1.50975,1.42197,0.005875,0.005875,0.005875
52,43644.1,1.27256,1.04692,1.25045,0.72542,0.70865,0.72465,0.43103,1.4722,1.50765,1.42161,0.0057925,0.0057925,0.0057925
53,44473.8,1.26632,1.04372,1.24811,0.72331,0.71042,0.72496,0.43105,1.4726,1.50646,1.42148,0.00571,0.00571,0.00571
54,45305.3,1.26694,1.04152,1.24291,0.72335,0.71007,0.72585,0.43124,1.47316,1.50533,1.42178,0.0056275,0.0056275,0.0056275
55,46140.2,1.26011,1.03396,1.24091,0.72667,0.70947,0.72652,0.43142,1.47312,1.50336,1.42182,0.005545,0.005545,0.005545
56,46968.5,1.2532,1.02623,1.23769,0.72381,0.71137,0.7265,0.43189,1.4731,1.50264,1.42141,0.0054625,0.0054625,0.0054625
57,47777.2,1.24979,1.02469,1.23697,0.72385,0.7112,0.72687,0.43176,1.47319,1.50121,1.42141,0.00538,0.00538,0.00538
58,48580.5,1.2499,1.01753,1.23562,0.72374,0.71123,0.72713,0.43162,1.47328,1.50059,1.42171,0.0052975,0.0052975,0.0052975
59,49452.3,1.24079,1.0101,1.22968,0.72334,0.71221,0.72754,0.43155,1.47354,1.49919,1.42184,0.005215,0.005215,0.005215
